,title,cast,crew,genres,keywords,original_language
18,ace_ventura_when_nature_calls,"['jim_carrey', 'ian_mcneice', 'simon_callow', 'maynard_eziashi', 'bob_gunton', 'sophie_okonedo', 'tommy_davidson', 'adewale_akinnuoye_agbaje', 'danny_d_daniels', 'sam_motoana_phillips', 'damon_standifer', 'andrew_steel', 'bruce_spence', 'tom_grunke', 'arsenio_sonny_trinidad']",['steve_oedekerk'],"['crime', 'comedy', 'adventure']","['africa', 'indigenous', 'human_animal_relationship', 'bat']",en
19,money_train,"['wesley_snipes', 'woody_harrelson', 'jennifer_lopez', 'robert_blake', 'chris_cooper', 'joe_grifasi', 'scott_sowers', 'skipp_sudduth', 'aida_turturro', 'vincent_pastore', 'enrico_colantoni', 'bill_nunn', 'katie_gill', 'jeremy_roberts', 'joe_bacino']",['joseph_ruben'],"['action', 'comedy', 'crime']","['brother_brother_relationship', 'subway', 'new_york_city', 'new_york_subway', 'train_robbery']",en
20,get_shorty,"['john_travolta', 'gene_hackman', 'rene_russo', 'danny_devito', 'dennis_farina', 'delroy_lindo', 'james_gandolfini', 'jon_gries', 'renee_props', 'david_paymer', 'martin_ferrero', 'miguel_sandoval', 'jacob_vargas', 'bobby_slayton', 'linda_hart', 'jeffrey_j_stephen']",['barry_sonnenfeld'],"['comedy', 'thriller', 'crime']","['gambling', 'miami', 'based_on_novel', 'job', 'murder']",en
21,copycat,"['sigourney_weaver', 'holly_hunter', 'will_patton', 'william_mcnamara', 'harry_connick_jr_', 'j_e_freeman', 'dermot_mulroney', 'john_rothman', 'shannon_o_hurley', 'bob_greene', 'tony_haney', 'danny_kovacs', 'tahmus_rounds', 'scott_devenney', 'david_michael_silverman']",['jon_amiel'],"['drama', 'thriller']","['police_brutality', 'psychology', 'police_operation', 'police_protection', 'serial_killer']",en
22,assassins,"['sylvester_stallone', 'antonio_banderas', 'julianne_moore', 'anatoli_davydov', 'muse_watson', 'steve_kahan', 'kelly_rowan', 'reed_diamond', 'kai_wulff', 'kerry_skalsky', 'james_douglas_haskins', 'stephen_liska', 'john_harms', 'edward_j_rosen', 'christina_orchid', 'choco_orta', 'german_legarreta']",['richard_donner'],"['action', 'adventure', 'crime', 'thriller']","['competition', 'assassination', 'cia', 'bank', 'cat']",en
23,powder,"['mary_steenburgen', 'sean_patrick_flanery', 'lance_henriksen', 'jeff_goldblum', 'brandon_smith']",['victor_salva'],"['drama', 'fantasy', 'science_fiction', 'thriller']","['dead_animal', 'shot_to_death', 'teenage_boy', 'held_at_gunpoint', 'teacher_student_relationship']",en
24,leaving_las_vegas,"['nicolas_cage', 'elisabeth_shue', 'julian_sands', 'richard_lewis', 'steven_weber', 'kim_adams', 'emily_procter', 'stuart_reynolds', 'valeria_golino', 'graham_beckel', 'mariska_hargitay', 'laurie_metcalf', 'shawnee_smith', 'david_kriegel']",['mike_figgis'],"['drama', 'romance']","['individual', 'prostitute', 'alcohol', 'casino', 'love_at_first_sight']",en
25,othello,"['laurence_fishburne', 'irene_jacob', 'kenneth_branagh', 'nathaniel_parker', 'indra_ove', 'michael_maloney', 'anna_patrick', 'nicholas_farrell', 'michael_sheen']",['oliver_parker'],['drama'],"['shakespeare', 'jealousy', 'friends', 'moor']",en
26,now_and_then,"['christina_ricci', 'rosie_o_donnell', 'thora_birch', 'melanie_griffith', 'gaby_hoffmann', 'demi_moore', 'ashleigh_aston_moore', 'rita_wilson', 'walter_sparrow', 'devon_sawa', 'cloris_leachman', 'janeane_garofalo', 'hank_azaria', 'bonnie_hunt', 'lolita_davidovich', 'brendan_fraser']",['lesli_linka_glatter'],"['comedy', 'drama', 'family']","['1970s', 'female_friendship', 'coming_of_age', 'gynecologist', 'photocopier']",en
27,persuasion,"['amanda_root', 'ciaran_hinds', 'susan_fleetwood', 'fiona_shaw', 'john_woodvine', 'phoebe_nicholls', 'samuel_west', 'sophie_thompson', 'judy_cornwell', 'simon_russell_beale', 'felicity_dean', 'roger_hammond', 'victoria_hamilton', 'corin_redgrave', 'emma_roberts', 'robert_glenister', 'richard_mccabe', 'helen_schlesinger', 'jane_wood', 'david_collings', 'darlene_johnson', 'cinnamon_faye', 'isaac_maxwell_hunt', 'roger_llewellyn', 'sally_george', 'lonnie_james']",['roger_michell'],"['drama', 'romance']","['captain', 'napoleonic_wars', 'old_flame', 'admiral']",en
28,the_city_of_lost_children,"['ron_perlman', 'dominique_pinon', 'judith_vittet', 'daniel_emilfork', 'jean_claude_dreyfus', 'genevieve_brunet', 'odile_mallet', 'mireille_mosse', 'serge_merlin', 'rufus', 'ticky_holgado', 'cris_huerta', 'jean_louis_trintignant', 'joseph_lucien', 'mapi_galan', 'briac_barthelemy', 'pierre_quentin_faesch', 'alexis_pivot', 'francois_hadji_lazaro', 'dominique_bettenfeld', 'lotfi_yahya_jedidi', 'thierry_gibault', 'marc_caro', 'ham_chau_luong', 'frankie_pain', 'enrique_villanueva', 'dominique_chevalier', 'lorella_cravotta', 'eric_houzelot', 'philippe_beautier', 'marc_amyot', 'jean_philippe_labadie', 'raphaele_bouchard', 'elisabeth_etienne', 'rachel_boulenger', 'michel_motu', 'nane_germon']","['jean_pierre_jeunet', 'marc_caro']","['fantasy', 'science_fiction', 'adventure']","['clone', 'dream', 'island', 'eye', 'dystopia']",fr
29,shanghai_triad,"['gong_li', 'li_bao_tian', 'wang_xiaoxiao', 'li_xuejian', 'chun_sung', 'fu_biao']",['zhang_yimou'],"['drama', 'crime']","['servant', 'cabaret', 'shanghai', 'diva', 'uncle']",zh
30,dangerous_minds,"['michelle_pfeiffer', 'george_dzundza', 'courtney_b_vance', 'robin_bartlett', 'john_neville', 'beatrice_winde', 'lorraine_toussaint', 'renoly_santiago', 'wade_dominguez', 'bruklin_harris', 'mercello_thedford', 'roberto_alvarez', 'richard_grant', 'marisela_gonzales', 'toni_nichelle_buzhardt']",['john_n_smith'],"['drama', 'crime']","['rap_music', 'karate', 'high_school', 'naval_officer', 'teacher']",en
31,twelve_monkeys,"['bruce_willis', 'madeleine_stowe', 'brad_pitt', 'christopher_plummer', 'david_morse', 'jon_seda', 'frank_gorshin', 'joseph_melito', 'aaron_michael_lacey', 'christopher_meloni', 'joey_perillo', 'lisagay_hamilton', 'matt_ross', 'annie_golden', 'michael_chance', 'vernon_campbell', 'h_michael_walls', 'bob_adrian', 'simon_jones', 'carol_florence', 'bill_raymond', 'ernest_abuba', 'irma_st_paule', 'rozwill_young', 'nell_johnson', 'frederick_strother', 'charles_techman', 'rick_warner', 'anthony_chip_brienza', 'bruce_kirkpatrick', 'wilfred_williams', 'joilet_harris', 'drucie_mcdaniel', 'john_blaisse', 'louis_lippa', 'stan_kang', 'pat_dias', 'felix_pire', 'karl_warren', 'joseph_mckenna', 'stephen_bridgewater', 'ray_huffman', 'charley_scalies', 'robert_o_neill', 'paul_meshejian', 'kevin_thigpen', 'harry_o_toole', 'jann_ellis', 'michael_ryan_segal', 'korchenko', 'chuck_jeffreys', 'barry_price', 'john_panzarella', 'janet_zappala', 'lisa_talerico', 'tiffany_baldwin', 'c_j_byrnes', 'tom_detrik', 'joe_gerety', 'renee_spei', 'bonnie_loev', 'raymond_mamrak', 'sal_mazzotta', 'allelon_ruggiero', 'thang']",['terry_gilliam'],"['science_fiction', 'thriller', 'mystery']","['schizophrenia', 'philadelphia', 'cassandra_syndrom', 'stockholm_syndrome', 'time_travel']",en
32,wings_of_courage,"['craig_sheffer', 'elizabeth_mcgovern', 'tom_hulce', 'ken_pogue', 'ron_sauve', 'val_kilmer', 'freddy_andreiuci']",['jean_jacques_annaud'],"['romance', 'adventure']",[],fr
33,babe,"['christine_cavanaugh', 'miriam_margolyes', 'danny_mann', 'hugo_weaving', 'miriam_flynn', 'james_cromwell', 'russi_taylor', 'evelyn_krape', 'michael_edward_stevens', 'charles_bartlett', 'paul_livingston', 'roscoe_lee_browne', 'magda_szubanski', 'zoe_burton', 'paul_goddard', 'wade_hayward', 'brittany_byrnes', 'mary_acres']",['chris_noonan'],"['fantasy', 'drama', 'comedy', 'family']","['sheep', 'pig', 'affection', 'piglet', 'heroism']",en
34,carrington,"['emma_thompson', 'jonathan_pryce', 'steven_waddington', 'samuel_west', 'rufus_sewell', 'penelope_wilton', 'janet_mcteer', 'jeremy_northam', 'alex_kingston', 'richard_clifford', 'david_ryall', 'stephen_boxer']",['christopher_hampton'],"['history', 'drama', 'romance']","['england', 'painter', 'conscientious_objector', 'independent_film', 'soldier']",en
35,dead_man_walking,"['susan_sarandon', 'sean_penn', 'robert_prosky', 'raymond_j_barry', 'r_lee_ermey', 'celia_weston', 'lois_smith', 'scott_wilson', 'roberta_maxwell', 'margo_martindale', 'jack_black', 'ray_aranha', 'peter_sarsgaard', 'barton_heyman', 'steve_boles', 'nesbitt_blaisdell', 'larry_pine', 'kevin_cooney', 'clancy_brown', 'michael_cullen', 'missy_yager', 'jenny_krochmal', 'jon_abrahams', 'arthur_bridgers', 'steve_carlisle', 'eva_amurri_martino', 'jack_henry_robbins', 'dennis_neal', 'molly_bryant', 'adele_robbins', 'pete_burris', 'joan_glover', 'lenore_banks', 'scott_sowers', 'cortez_nance_jr_', 'adam_nelson', 'jeremy_knaster', 'marcus_lyle_brown', 'anthony_michael_frederick', 'thomas_mcgowan', 'codie_scott', 'helen_prejean']",['tim_robbins'],['drama'],"['prison', 'rape', 'socially_deprived_family', 'penalty', 'death_penalty']",en
36,across_the_sea_of_time,"['peter_reznick', 'john_mcdonough', 'avi_hoffman', 'matt_malloy', 'abby_lewis']",['stephen_low'],"['adventure', 'history', 'drama', 'family']",[],en
37,it_takes_two,"['kirstie_alley', 'steve_guttenberg', 'ashley_olsen', 'mary_kate_olsen', 'jane_sibbett', 'philip_bosco', 'michelle_grisom', 'desmond_robertson', 'tiny_mills', 'shanelle_henry', 'michele_lonsdale_smith', 'sean_orr', 'elizabeth_walsh']",['andy_tennant'],"['comedy', 'family', 'romance']","['orphan', 'identical_twin']",en
38,clueless,"['alicia_silverstone', 'stacey_dash', 'brittany_murphy', 'paul_rudd', 'donald_faison', 'elisa_donovan', 'breckin_meyer', 'jeremy_sisto', 'dan_hedaya', 'wallace_shawn', 'twink_caplan', 'justin_walker', 'julie_brown', 'nicole_bilderback']",['amy_heckerling'],"['comedy', 'drama', 'romance']","['puberty', 'high_school', 'make_a_match', 'spoiled_child', 'gay_interest']",en
39,cry_the_beloved_country,"['james_earl_jones', 'charles_s_dutton', 'jack_robinson', 'tsholofelo_wechoemang', 'ramalao_makhene', 'richard_harris', 'dolly_rathebe', 'jennifer_steyn', 'ian_roberts', 'david_clatworthy']",['darrell_james_roodt'],['drama'],['south_africa'],en
40,richard_iii,"['ian_mckellen', 'annette_bening', 'jim_broadbent', 'kristin_scott_thomas', 'adrian_dunbar', 'maggie_smith', 'tim_mcinnerny', 'robert_downey_jr_', 'edward_hardwicke', 'nigel_hawthorne', 'jim_carter', 'dominic_west', 'john_wood', 'roger_hammond', 'bill_paterson', 'donald_sumpter', 'james_dreyfus', 'derek_lyons']",['richard_loncraine'],"['drama', 'war']","['england', 'shakespeare', 'kidnapping', 'murder', 'king']",en
41,dead_presidents,"['larenz_tate', 'keith_david', 'chris_tucker', 'freddy_rodriguez', 'rose_jackson', 'n_bushe_wright', 'clifton_powell', 'terrence_howard', 'bokeem_woodbine', 'sticky_fingaz', 'clifton_collins_jr', 'elizabeth_rodriguez', 'michael_imperioli']","['albert_hughes', 'allen_hughes']","['action', 'crime', 'drama', 'history']","['money', 'loss_of_virginity', 'hiding_in_a_dumpster', 'mercy_killing', 'armored_truck']",en
42,restoration,"['robert_downey_jr_', 'meg_ryan', 'sam_neill', 'david_thewlis', 'hugh_grant', 'polly_walker', 'ian_mckellen', 'ian_mcdiarmid', 'mary_macleod', 'willie_ross']",['michael_hoffman'],"['drama', 'romance']","['jealousy', 'medicine', 'fountain', 'court', 'wealth']",en
43,mortal_kombat,"['christopher_lambert', 'robin_shou', 'linden_ashby', 'cary_hiroyuki_tagawa', 'bridgette_wilson', 'talisa_soto', 'trevor_goddard', 'chris_casamassa', 'francois_petit', 'keith_cooke', 'ed_boon']",['paul_w_s_anderson'],"['action', 'fantasy']","['martial_arts', 'monster', 'island', 'gore', 'sorcerer']",en
44,to_die_for,"['nicole_kidman', 'matt_dillon', 'joaquin_phoenix', 'casey_affleck', 'illeana_douglas', 'alison_folland', 'dan_hedaya', 'wayne_knight', 'david_cronenberg', 'kurtwood_smith', 'holland_taylor', 'susan_traylor', 'maria_tucci', 'tim_hopper']",['gus_van_sant'],"['fantasy', 'drama', 'comedy', 'thriller']","['adultery', 'winter', 'obsession', 'television', 'new_hampshire']",en
45,how_to_make_an_american_quilt,"['winona_ryder', 'anne_bancroft', 'ellen_burstyn', 'kate_nelligan', 'jean_simmons', 'maya_angelou', 'alfre_woodard', 'dermot_mulroney', 'lois_smith', 'kate_capshaw', 'rip_torn', 'johnathon_schaech', 'samantha_mathis', 'joanna_going', 'esther_rolle', 'jared_leto', 'claire_danes', 'lecy_goranson', 'holland_taylor', 'tim_guinee', 'derrick_o_connor', 'loren_dean', 'melinda_dillon', 'richard_jenkins', 'denis_arndt', 'adam_baldwin', 'michael_mcelroy', 'ari_meyers', 'jane_alden', 'tamala_jones', 'rae_ven_larrymore_kelly', 'alicia_goranson', 'will_estes', 'mykelti_williamson']",['jocelyn_moorhouse'],"['drama', 'romance']","['wedding_vows', 'marriage_proposal', 'married_couple', 'monogamy', 'advice']",en
46,se7en,"['brad_pitt', 'morgan_freeman', 'gwyneth_paltrow', 'john_c_mcginley', 'kevin_spacey', 'r_lee_ermey', 'richard_roundtree', 'richard_schiff', 'julie_araskog', 'mark_boone_junior', 'john_cassini', 'reg_e_cathey', 'peter_crombie', 'hawthorne_james', 'michael_massee', 'leland_orser', 'richard_portnow', 'daniel_zacapa', 'alfonso_freeman', 'harris_savides', 'andrew_kevin_walker', 'richmond_arquette', 'pamala_tyson', 'emily_wagner', 'shannon_wilcox', 'george_christy', 'endre_hules', 'william_davidson', 'bob_collins', 'dominique_jennings', 'allan_kolman', 'gene_borkan', 'mario_di_donato', 'harrison_white', 'bob_stephenson', 'michael_reid_mackay', 'lennie_loftin', 'martin_serene', 'david_correia', 'lexie_bigham', 'evan_mirand', 'paul_eckstein', 'rachel_flanagan', 'heidi_schanz', 'brian_evers', 'james_deeth', 'charles_a_tamburro', 'charles_s_dutton', 'arthur_max']",['david_fincher'],"['crime', 'mystery', 'thriller']","['self_fulfilling_prophecy', 'detective', 's_w_a_t_', 'drug_dealer', 'evisceration']",en
47,pocahontas,"['irene_bedard', 'mel_gibson', 'david_ogden_stiers', 'john_kassir', 'russell_means', 'christian_bale', 'judy_kuhn', 'linda_hunt', 'danny_mann', 'billy_connolly', 'joe_baker', 'frank_welker', 'michelle_st_john', 'james_apaumut_fall', 'gordon_tootoosis', 'jim_cummings']","['mike_gabriel', 'eric_goldberg']","['adventure', 'animation', 'drama', 'family']","['culture_clash', 'settler', 'forbidden_love', 'colony', 'musical']",en
48,when_night_is_falling,"['pascale_bussieres', 'rachael_crawford', 'henry_czerny', 'don_mckellar']",['patricia_rozema'],"['drama', 'romance']","['professor', 'lgbt', 'woman_director']",en
49,the_usual_suspects,"['stephen_baldwin', 'gabriel_byrne', 'chazz_palminteri', 'kevin_pollak', 'pete_postlethwaite', 'kevin_spacey', 'suzy_amis', 'giancarlo_esposito', 'benicio_del_toro', 'dan_hedaya', 'paul_bartel', 'carl_bressler', 'christine_estabrook', 'clark_gregg', 'morgan_hunter', 'louis_lombardi', 'frank_medrano', 'ron_gilbert']",['bryan_singer'],"['drama', 'crime', 'thriller']","['law', 'relatives', 'theft', 'criminal', 'criminal_mastermind']",en
50,guardian_angel,"['cynthia_rothrock', 'marshall_r_teague', 'daniel_mcvicar', 'lydie_denier', 'john_o_leary', 'art_camacho', 'robert_miano']",['richard_w_munchkin'],"['action', 'thriller', 'drama']",[],en
51,mighty_aphrodite,"['woody_allen', 'mira_sorvino', 'helena_bonham_carter', 'f_murray_abraham', 'donald_symington', 'claire_bloom', 'olympia_dukakis', 'michael_rapaport', 'david_ogden_stiers', 'jack_warden', 'peter_weller', 'danielle_ferland']",['woody_allen'],"['comedy', 'romance']","['prostitute', 'adoption', 'adoptive_father', 'childlessness', 'looking_for_birth_parents']",en
52,lamerica,"['enrico_lo_verso', 'michele_placido', 'piro_milkani', 'carmelo_di_mazzarelli', 'marjeta_ljarja']",['gianni_amelio'],"['drama', 'foreign']",['independent_film'],it
53,the_big_green,"['steve_guttenberg', 'olivia_d_abo', 'jay_o_sanders', 'john_terry', 'bug_hall', 'jessica_robertson', 'patrick_renna', 'billy_l_sullivan', 'chauncey_leopardi', 'jordan_brower', 'hayley_kolb', 'haley_miller', 'ashley_welch']",['holly_goldberg_sloan'],"['action', 'adventure', 'comedy', 'family']","['sport', 'kids_and_family', 'soccer', 'woman_director']",en
54,georgia,"['jennifer_jason_leigh', 'mare_winningham', 'ted_levine', 'max_perlich', 'john_doe', 'john_c_reilly', 'jimmy_witherspoon', 'jason_carter']",['ulu_grosbard'],['drama'],"['alcohol', 'artist', 'music', 'drug', 'band']",en
55,kids_of_the_round_table,"['johnny_morina', 'malcolm_mcdowell', 'maggie_castle', 'james_rae', 'michael_ironside']",['robert_tinnell'],[],[],en
